AU;TI;PY;AB;AB_Clean;DI;UT;Country;Field;Subject;Quartile
Bzhalava L., Cantner U.;The journey towards open innovation: why do firms choose different routes?;2018;Prior research on open innovation provides no systematic insight whether firms with internal innovation constraints increase the scale of R&D outsourcing or the number of innovation cooperation partnerships. Motivated by this research gap in the literature, we study the effect of economic- and knowledge-related innovation impediments on a degree of formal openness in innovation. Analyzing a 3 years panel dataset of German manufacturing firms obtained from Mannheim Innovation Panel (MIP) database, we find that knowledge-related obstacles induce firms to increase the scale of R&D outsourcing as well as to engage in innovation cooperation partnerships. Contrariwise, a non-significant relationship is detected between economic related innovation impediments and R&D openness. Hence, the study suggests that a high degree of openness in innovation is driven by knowledge shortages rather than cost-risk minimization objectives. © 2018, Eurasia Business and Economics Society.;Prior research on Open Innovation provides no systematic insight whether firms with internal innovation constraints increase the scale of R&D outsourcing or the number of innovation cooperation partnerships. Motivated by this research gap in the literature, we study the effect of economic- and knowledge-related innovation impediments on a degree of formal openness in innovation. Analyzing a 3 years panel dataset of German manufacturing firms obtained from Mannheim Innovation Panel (MIP) database, we find that knowledge-related obstacles induce firms to increase the scale of R&D outsourcing as well as to engage in innovation cooperation partnerships. Contrariwise, a non-significant relationship is detected between economic related innovation impediments and R&D openness. Hence, the study suggests that a high degree of openness in innovation is driven by knowledge shortages rather than cost-risk minimization objectives. ;10.1007/s40821-017-0101-9;2-s2.0-85042792618;Georgia;"Business, Management and Accounting; Economics, Econometrics and Finance";Social Sciences & Humanities;Q1
Hannigan T.R., Seidel V.P., Yakis-Douglas B.;Product innovation rumors as forms of open innovation;2018;Prior studies of open innovation have highlighted the effects of different flows of knowledge between firms and external partners—such as flows of software code, technical solutions, or new product ideas—and how firms face a “paradox of openness” about how open to be to external sources while also appropriating value. There are increasingly flows of more provisional knowledge as well, in the form of product innovation rumors exchanged within online technology blogs. Our study objective was to understand how product innovation rumors are used by firms as both inflows and outflows of provisional knowledge and their effect on the innovation process. Using interview data within a high-technology firm whose forthcoming products were the subject of rumor within technology blogs, we develop propositions regarding how inflows of product innovation rumors affect innovation decisions (while addressing concerns about appropriability and intrafirm knowledge flows) and how outflows from firms may affect stakeholders outside the firm (through selective revealing and influence of technology blog editors). Product innovation rumors in part address the paradox of openness by forming an informal means of open innovation alongside formal processes, and we suggest further research opportunities in this domain. © 2018 Elsevier B.V.;Prior studies of Open Innovation have highlighted the effects of different flows of knowledge between firms and external partners—such as flows of software code, technical solutions, or new product ideas—and how firms face a “paradox of openness” about how open to be to external sources while also appropriating value. There are increasingly flows of more provisional knowledge as well, in the form of product innovation rumors exchanged within online technology blogs. Our study objective was to understand how product innovation rumors are used by firms as both inflows and outflows of provisional knowledge and their effect on the innovation process. Using interview data within a high-technology firm whose forthcoming products were the subject of rumor within technology blogs, we develop propositions regarding how inflows of product innovation rumors affect innovation decisions (while addressing concerns about appropriability and intrafirm knowledge flows) and how outflows from firms may affect stakeholders outside the firm (through selective revealing and influence of technology blog editors). Product innovation rumors in part address the paradox of openness by forming an informal means of Open Innovation alongside formal processes, and we suggest further research opportunities in this domain. ;10.1016/j.respol.2018.02.018;2-s2.0-85043515005;Canada;"Business, Management and Accounting; Decision Sciences; Engineering";Social Sciences & Humanities;Q1
Parida V., Westerberg M., Frishammar J.;Inbound Open Innovation Activities in High-Tech SMEs: The Impact on Innovation Performance;2012;Prior studies suggest that open innovation activities positively influence innovation outcomes in large firms. However, few studies have investigated the implications of small and medium-sized enterprises' (SMEs) adoption of open innovation. We address this research gap by investigating the effects of four inbound open innovation activities on innovation performance of SMEs. In doing so, we draw on data from 252 high-tech SMEs. Our results reveal that different open innovation activities are beneficial for different innovation outcomes. For instance, technology sourcing is linked to radical innovation performance, whereas technology scouting is linked to incremental innovation performance. These findings hold several important theoretical and practical implications. © 2012 International Council for Small Business.;Prior studies suggest that Open Innovation activities positively influence innovation outcomes in large firms. However, few studies have investigated the implications of small and medium-sized enterprises' (SMEs) adoption of Open Innovation. We address this research gap by investigating the effects of four inbound Open Innovation activities on innovation performance of SMEs. In doing so, we draw on data from 252 high-tech SMEs. Our results reveal that different Open Innovation activities are beneficial for different innovation outcomes. For instance, technology sourcing is linked to radical innovation performance, whereas technology scouting is linked to incremental innovation performance. These findings hold several important theoretical and practical implications. ;10.1111/j.1540-627X.2012.00354.x;2-s2.0-84858596640;Sweden;Business, Management and Accounting;Social Sciences & Humanities;Q1
Roper S., Hewitt-Dundas N.;Catalysing open innovation through publicly-funded R&D: A comparison of university and company-based research centres;2013;"Public funding of university and company-based R&D centres of excellence is widespread both in core and more peripheral regions. What is less well-known is whether these R&D centres can catalyse multi-directional, multi-actor and iterative innovation. Based on data from a real-time monitoring study, this article explores the development of 18 R&D centres' external connections. University-based R&D centres establish more new connections than company-based centres and are more likely to be interacting with small or micro-firms. However, there is a general bias towards links with larger firms; micro, small and medium-sized enterprises also are less likely to be involved in collaborative R&D with research centres than other types of relationships. The results suggest the potential for R&D centres to act as a catalyst for open innovation but emphasise the need to ensure that the focus of the R&D being conducted is relevant to the needs of smaller firms. © The Author(s) 2012.";"Public funding of university and company-based R&D centres of excellence is widespread both in core and more peripheral regions. What is less well-known is whether these R&D centres can catalyse multi-directional, multi-actor and iterative innovation. Based on data from a real-time monitoring study, this article explores the development of 18 R&D centres' external connections. University-based R&D centres establish more new connections than company-based centres and are more likely to be interacting with small or micro-firms. However, there is a general bias towards links with larger firms; micro, small and medium-sized enterprises also are less likely to be involved in collaborative R&D with research centres than other types of relationships. The results suggest the potential for R&D centres to act as a catalyst for Open Innovation but emphasise the need to ensure that the focus of the R&D being conducted is relevant to the needs of smaller firms. ";10.1177/0266242612454671;2-s2.0-84876558273;United Kingdom;Business, Management and Accounting;Social Sciences & Humanities;Q1
Schillo R.S., Kinder J.S.;Delivering on societal impacts through open innovation: a framework for government laboratories;2017;Public research organizations and other government laboratories (PROs) around the world are being challenged to show how their research is contributing to public benefits and to commercialization in the private sector. At the same time, the private sector they are expected to connect with is challenged to define and further develop their business models in an increasingly open innovation environment. PROs have multi-dimensional ties with open innovation environments through their regulatory, policy, and program (e.g., research and innovation) activities. Thus, it can be expected that PROs not only affect and are affected by changes in business models among companies, but they also need to develop their own models to remain relevant and effective. As the equivalent of private sector business models, we propose six impact models for science-based government organizations. This framework provides a nuanced understanding of the contributions of PROs to open innovation environments. We illustrate its application and document a number of emerging impact models in a case study of Natural Resources Canada, a science-based department of the Canadian federal government involved in many industries and with numerous external contacts. © 2017, Springer Science+Business Media New York.;Public research organizations and other government laboratories (PROs) around the world are being challenged to show how their research is contributing to public benefits and to commercialization in the private sector. At the same time, the private sector they are expected to connect with is challenged to define and further develop their business models in an increasingly Open Innovation environment. PROs have multi-dimensional ties with Open Innovation environments through their regulatory, policy, and program (e.g., research and innovation) activities. Thus, it can be expected that PROs not only affect and are affected by changes in business models among companies, but they also need to develop their own models to remain relevant and effective. As the equivalent of private sector business models, we propose six impact models for science-based government organizations. This framework provides a nuanced understanding of the contributions of PROs to Open Innovation environments. We illustrate its application and document a number of emerging impact models in a case study of Natural Resources Canada, a science-based department of the Canadian federal government involved in many industries and with numerous external contacts. ;10.1007/s10961-016-9521-4;2-s2.0-85008223884;Canada;"Business, Management and Accounting; Engineering";Social Sciences & Humanities;Q1
Gascó M.;Living labs: Implementing open innovation in the public sector;2017;Public sector innovation is an important issue in the agenda of policymakers and academics but there is a need for a change of perspective, one that promotes a more open model of innovating, which takes advantage of the possibilities offered by collaboration between citizens, entrepreneurs and civil society as well as of new emerging technologies. Living labs are environments that can support public open innovation processes. This article makes a practical contribution to understand the role of living labs as intermediaries of public open innovation. The analysis focuses on the dynamics of these innovation intermediaries, their outcomes, and their main challenges. In particular, it adopts a qualitative approach (fourteen semi-structured interviews and one focus group were conducted) in order to analyze two living labs: Citilab in the city of Cornellà and the network of fab athenaeums (public fab labs) in the city of Barcelona, both in Spain. After a thorough analysis of the attributes of these living labs, the article concludes that 1) living labs provide the opportunity for public agencies to meet with private sector organizations and thus function as innovation intermediaries, 2) implementing an open innovation perspective is considered more important than obtaining specific innovation results, and 3) scalability and sustainability are the main problems living labs encounter as open innovation intermediaries. © 2016 Elsevier Inc.;Public sector innovation is an important issue in the agenda of policymakers and academics but there is a need for a change of perspective, one that promotes a more open model of innovating, which takes advantage of the possibilities offered by collaboration between citizens, entrepreneurs and civil society as well as of new emerging technologies. Living labs are environments that can support public Open Innovation processes. This article makes a practical contribution to understand the role of living labs as intermediaries of public Open Innovation. The analysis focuses on the dynamics of these innovation intermediaries, their outcomes, and their main challenges. In particular, it adopts a qualitative approach (fourteen semi-structured interviews and one focus group were conducted) in order to analyze two living labs: Citilab in the city of Cornellà and the network of fab athenaeums (public fab labs) in the city of Barcelona, both in Spain. After a thorough analysis of the attributes of these living labs, the article concludes that 1) living labs provide the opportunity for public agencies to meet with private sector organizations and thus function as innovation intermediaries, 2) implementing an Open Innovation perspective is considered more important than obtaining specific innovation results, and 3) scalability and sustainability are the main problems living labs encounter as Open Innovation intermediaries. ;10.1016/j.giq.2016.09.003;2-s2.0-84999711679;Spain;Social Sciences;Social Sciences & Humanities;Q1
Heimstädt M., Reischauer G.;Framing innovation practices in interstitial issue fields: open innovation in the NYC administration;2019;Public sector organisations increasingly innovate through open innovation practices that originated in the private sector. To explain the use of these innovation practices, extant research has focused on enabling conditions at the individual and organisational level, but has paid little attention to extra-organisational factors such as culture. To address this gap, we adopted a field framing perspective to study the use of open innovation practices in the New York City (NYC) administration. We found that actors in NYC equipped different social positions–insider, outsider and interstitial–and used different discursive tactics–reflective frame blending and supplemental frame blending–to enhance the cultural resonance of open innovation practices. We further theorise these findings with a framework on the enabling conditions for the cultural resonance of innovation practices. Our study contributes to innovation studies by unpacking the role of culture for the use of innovation practices and to the framing literature by specifying the role of discursive tactics and social positions for the cultural resonance of new practices. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.;Public sector organisations increasingly innovate through Open Innovation practices that originated in the private sector. To explain the use of these innovation practices, extant research has focused on enabling conditions at the individual and organisational level, but has paid little attention to extra-organisational factors such as culture. To address this gap, we adopted a field framing perspective to study the use of Open Innovation practices in the New York City (NYC) administration. We found that actors in NYC equipped different social positions–insider, outsider and interstitial–and used different discursive tactics–reflective frame blending and supplemental frame blending–to enhance the cultural resonance of Open Innovation practices. We further theorise these findings with a framework on the enabling conditions for the cultural resonance of innovation practices. Our study contributes to innovation studies by unpacking the role of culture for the use of innovation practices and to the framing literature by specifying the role of discursive tactics and social positions for the cultural resonance of new practices. ;10.1080/14479338.2018.1514259;2-s2.0-85053299517;Germany;Business, Management and Accounting;Social Sciences & Humanities;Q1
Cheng C.C.J., Shiu E.C.;The inconvenient truth of the relationship between open innovation activities and innovation performance;2015;Purpose - Despite extensive published research into the relationship between open innovation (OI) activities and performance, the nature and direction of the relationship remain inconclusive. The purpose of this paper is to investigate the relationship as to how firms' inbound and outbound OI activities, as well as their interaction influence incremental and radical innovation performance. The authors also consider the potentially mediating roles of knowledge learning and organizational capabilities in such a relationship. Design/methodology/approach - To investigate this relationship, data were collected from a cross-industry survey of 304 leading Taiwanese-based firms. Three-stage least square analysis was employed to test the model. Findings - Analyses reveal that knowledge learning and organizational capabilities mediate the OI activities-innovation performance relationship. In addition, a firm focussing on inbound activities enhances its radical innovation performance, but hinders its incremental innovation performance, while focussing on outbound activities produces the opposite effects. Among the findings, it is worth emphasizing that the effect of the interaction between inbound and outbound activities on innovation performance can be counter-productive. Research limitations/implications - The findings demonstrate that existing studies only partially explain the effects of OI activities on innovation performance. Understanding how OI activities influence innovation performance will facilitate more informed decision making, leading to more effective use of OI activities. Practical implications - The results suggest that managers need to consider knowledge learning and organizational capabilities in order to fully capture the potential effects of OI activities. Managers also need to be aware of the limitations of OI activities. Originality/value - The theoretical model presented here offers a timely contribution to the theory base underpinning the development of OI activities for innovation performance. ©Emerald Group Publishing Limited.;Purpose - Despite extensive published research into the relationship between Open Innovation activities and performance, the nature and direction of the relationship remain inconclusive. The purpose of this paper is to investigate the relationship as to how firms' inbound and outbound OI activities, as well as their interaction influence incremental and radical innovation performance. The authors also consider the potentially mediating roles of knowledge learning and organizational capabilities in such a relationship. Design/methodology/approach - To investigate this relationship, data were collected from a cross-industry survey of 304 leading Taiwanese-based firms. Three-stage least square analysis was employed to test the model. Findings - Analyses reveal that knowledge learning and organizational capabilities mediate the OI activities-innovation performance relationship. In addition, a firm focussing on inbound activities enhances its radical innovation performance, but hinders its incremental innovation performance, while focussing on outbound activities produces the opposite effects. Among the findings, it is worth emphasizing that the effect of the interaction between inbound and outbound activities on innovation performance can be counter-productive. Research limitations/implications - The findings demonstrate that existing studies only partially explain the effects of OI activities on innovation performance. Understanding how OI activities influence innovation performance will facilitate more informed decision making, leading to more effective use of OI activities. Practical implications - The results suggest that managers need to consider knowledge learning and organizational capabilities in order to fully capture the potential effects of OI activities. Managers also need to be aware of the limitations of OI activities. Originality/value - The theoretical model presented here offers a timely contribution to the theory base underpinning the development of OI activities for innovation performance. ;10.1108/MD-03-2014-0163;2-s2.0-84927794544;Taiwan;"Business, Management and Accounting; Decision Sciences";Social Sciences & Humanities;Q1
Carroll N., Helfert M.;Service capabilities within open innovation: Revisiting the applicability of capability maturity models;2015;Purpose – Open innovation is an emerging paradigm which exposes organisations to networked capabilities and competencies though collaboration relationships. The traditional view of the organisational environment raises concerns regarding the mismatch in the methods used to assess business value and understanding service process maturity. The purpose of this paper is to address this gap.Design/methodology/approach – This paper employs a systematic literature review to present a state-of-the-art literature review with particular focus on the applicability of capability maturity models (CMM) within an open innovation context.Findings – The authors present a conceptual account of our research developments and build on the state-of-the-art which bridges open innovation and CMM. The authors provide a comprehensive discussion on the literature and challenge the applicability of individual organisations evolving through maturity stages. The authors identify a significant gap in the emergence of open innovation and CMM and present a service capability sourcing model (SCSM) to bridge theses this two research areas.Practical implications – Unpacking the nature of service capabilities allows us to understand the primary components of value co-creation and their contribution towards service maturity within an open service innovation environment. The authors verify the explanation model using a cloud computing scenario within an open service innovation environment.Originality/value – The contribution of this paper is an explanation model of an open service innovation environment through our SCSM. Though an open innovation perspective, the authors examine the nature of service capabilities and the suitability of traditional CMM in a modern service context. © Emerald Group Publishing Limited.;Purpose – Open Innovation is an emerging paradigm which exposes organisations to networked capabilities and competencies though collaboration relationships. The traditional view of the organisational environment raises concerns regarding the mismatch in the methods used to assess business value and understanding service process maturity. The purpose of this paper is to address this gap.Design/methodology/approach – This paper employs a systematic literature review to present a state-of-the-art literature review with particular focus on the applicability of capability maturity models (CMM) within an Open Innovation context.Findings – The authors present a conceptual account of our research developments and build on the state-of-the-art which bridges Open Innovation and CMM. The authors provide a comprehensive discussion on the literature and challenge the applicability of individual organisations evolving through maturity stages. The authors identify a significant gap in the emergence of Open Innovation and CMM and present a service capability sourcing model (SCSM) to bridge theses this two research areas.Practical implications – Unpacking the nature of service capabilities allows us to understand the primary components of value co-creation and their contribution towards service maturity within an open service innovation environment. The authors verify the explanation model using a cloud computing scenario within an open service innovation environment.Originality/value – The contribution of this paper is an explanation model of an open service innovation environment through our SCSM. Though an Open Innovation perspective, the authors examine the nature of service capabilities and the suitability of traditional CMM in a modern service context. ;10.1108/JEIM-10-2013-0078;2-s2.0-84922749318;Ireland;"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences";Social Sciences & Humanities;Q1
Naqshbandi M.M., Kaur S.;Do managerial ties support or stifle open innovation?;2014;Purpose - Research investigating the role of factors affecting open innovation remains scarce. The purpose of this paper is to examine the role of managerial ties in facilitating the two types of open innovation - in-bound and out-bound. Design/methodology/approach - Data are collected using the questionnaire survey method from 339 middle and top managers working in four high-tech industries in Malaysia. Findings - Results show that in most high-tech industries in Malaysia, managerial ties with universities and with government officials facilitate in-bound open innovation, while ties with managers at other firms do not significantly relate to it in any high-tech industry. Further, managerial ties are not found to relate significantly to out-bound open innovation in any high-tech industry except in the aerospace and electronics industries wherein ties with government officials relate negatively and positively to out-bound innovation, respectively. Practical implications - This study provides empirical evidence about the managerial ties practitioners should and should not forge to succeed in the open innovation paradigm. Originality/value - This study is probably the only study so far that gauges the impact of managerial ties on open innovation. The results of this study fill a major gap in the current open innovation theory besides providing insights for practitioners. © Emerald Group Publishing Limited.;Purpose - Research investigating the role of factors affecting Open Innovation remains scarce. The purpose of this paper is to examine the role of managerial ties in facilitating the two types of Open Innovation - in-bound and out-bound. Design/methodology/approach - Data are collected using the questionnaire survey method from 339 middle and top managers working in four high-tech industries in Malaysia. Findings - Results show that in most high-tech industries in Malaysia, managerial ties with universities and with government officials facilitate in-bound Open Innovation, while ties with managers at other firms do not significantly relate to it in any high-tech industry. Further, managerial ties are not found to relate significantly to out-bound Open Innovation in any high-tech industry except in the aerospace and electronics industries wherein ties with government officials relate negatively and positively to out-bound innovation, respectively. Practical implications - This study provides empirical evidence about the managerial ties practitioners should and should not forge to succeed in the Open Innovation paradigm. Originality/value - This study is probably the only study so far that gauges the impact of managerial ties on Open Innovation. The results of this study fill a major gap in the current Open Innovation theory besides providing insights for practitioners. ;10.1108/IMDS-10-2013-0407;2-s2.0-84899960176;Malaysia;"Business, Management and Accounting; Management Information Systems; Computer Science; Engineering";Social Sciences & Humanities;Q1
Aloini D., Farina G., Lazzarotti V., Pellegrini L.;Implementing open innovation: Conceptual design of an integrated ict platform;2017;"Purpose – The aim of this paper is to develop the conceptual design of an information and communication technologies (ICT) platform supporting the inbound open innovation (OI) process within the technological developments business unit of Leonardo Defence Systems. Design/methodology/approach – After a preliminary phase concerning the context analysis, methodology includes three main steps: conceptualization of functions; preliminary design; and conceptual design of the system/SW architecture. In each of these phases, the authors tried to merge evidence from the scientific literature with empirical insight emerging from the field. Findings – Results report the conceptual design proposal for an integrated ICT platform supporting the OI. It includes the conceptualization of main functions, the preliminary design deriving from use cases and the proposal for the overall system architecture and data model. Research limitations/implications – The research focuses only on the conceptual design phase; at this stage, the platform has not been still implemented or tested. Also, generalizability concerns may arise from the single-application context. Practical implications – The outcoming conceptual design can be useful for firms that open their boundaries to external partners, as well as for software developers which could draw on it. Firms approaching similar OI challenges can re-contextualize the platform to their own setting. Originality/value – Originality of this research relies on the attempt to show how ICT can support firms in their OI processes and, secondly, to support firms aiming to create a positive environment that encourages people at leveraging existing external technological opportunities and sources of knowledge. In so doing, a systematic design approach to the definition of the conceptual proposal is also pursued. © Emerald Publishing Limited.";"Purpose – The aim of this paper is to develop the conceptual design of an information and communication technologies (ICT) platform supporting the inbound Open Innovation process within the technological developments business unit of Leonardo Defence Systems. Design/methodology/approach – After a preliminary phase concerning the context analysis, methodology includes three main steps: conceptualization of functions; preliminary design; and conceptual design of the system/SW architecture. In each of these phases, the authors tried to merge evidence from the scientific literature with empirical insight emerging from the field. Findings – Results report the conceptual design proposal for an integrated ICT platform supporting the OI. It includes the conceptualization of main functions, the preliminary design deriving from use cases and the proposal for the overall system architecture and data model. Research limitations/implications – The research focuses only on the conceptual design phase; at this stage, the platform has not been still implemented or tested. Also, generalizability concerns may arise from the single-application context. Practical implications – The outcoming conceptual design can be useful for firms that open their boundaries to external partners, as well as for software developers which could draw on it. Firms approaching similar OI challenges can re-contextualize the platform to their own setting. Originality/value – Originality of this research relies on the attempt to show how ICT can support firms in their OI processes and, secondly, to support firms aiming to create a positive environment that encourages people at leveraging existing external technological opportunities and sources of knowledge. In so doing, a systematic design approach to the definition of the conceptual proposal is also pursued. ";10.1108/JKM-11-2016-0517;2-s2.0-85039913380;Italy;Business, Management and Accounting;Social Sciences & Humanities;Q1
Bugshan H.;Open innovation using Web 2.0 technologies;2015;"Purpose – The internal resources of a firm should not be regarded as the only source of innovation; organizations need to look at the external sources which can contribute greatly. This can happen through the recent development in technologies and the emergence of social media; such advancements have empowered consumers to have social interaction with their peers in online communities. As a source of generation of innovative ideas, company-based communities have not received enough attention, although they are strong drivers for co-creation of value by customers. Easy online communication channels, facilitated through online communities, have developed open innovation as an attractive means of customer involvement in value creation. However, literature in this area is devoid of empirical research on the way consumers can participate in open innovation communities using Web 2.0 technologies. The paper aims to discuss these issues. Design/methodology/approach – This paper, therefore, looks at the opportunities offered by social media to firms for open innovation in the context of new product development (NPD). The study is based on social support theory and the concept of social media generating open innovation; a model for the research has thus been proposed. The model has been tested using partial least square through an online questionnaire. Findings – The results indicate that social media is a cost-efficient way for firms to look at external sources of innovation, specifically in NPD. Online communities, developed specifically for new products, can support the innovation process for the business sector. The paper discusses the results of this empirical research and has some practical implications for practitioners in this field. Originality/value – The study indicate that social media empower individuals to come online, get involved in social interaction and share their experiences about a new product with other peers in the network. Social media and informational support, as social capital of online communities, both have influence on participation of individuals in the online communities of open innovation for NPD. © Emerald Group Publishing Limited.";"Purpose – The internal resources of a firm should not be regarded as the only source of innovation; organizations need to look at the external sources which can contribute greatly. This can happen through the recent development in technologies and the emergence of social media; such advancements have empowered consumers to have social interaction with their peers in online communities. As a source of generation of innovative ideas, company-based communities have not received enough attention, although they are strong drivers for co-creation of value by customers. Easy online communication channels, facilitated through online communities, have developed Open Innovation as an attractive means of customer involvement in value creation. However, literature in this area is devoid of empirical research on the way consumers can participate in Open Innovation communities using Web 2.0 technologies. The paper aims to discuss these issues. Design/methodology/approach – This paper, therefore, looks at the opportunities offered by social media to firms for Open Innovation in the context of new product development (NPD). The study is based on social support theory and the concept of social media generating Open Innovation; a model for the research has thus been proposed. The model has been tested using partial least square through an online questionnaire. Findings – The results indicate that social media is a cost-efficient way for firms to look at external sources of innovation, specifically in NPD. Online communities, developed specifically for new products, can support the innovation process for the business sector. The paper discusses the results of this empirical research and has some practical implications for practitioners in this field. Originality/value – The study indicate that social media empower individuals to come online, get involved in social interaction and share their experiences about a new product with other peers in the network. Social media and informational support, as social capital of online communities, both have influence on participation of individuals in the online communities of Open Innovation for NPD. ";10.1108/JEIM-09-2014-099;2-s2.0-84931837012;United Kingdom;"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences";Social Sciences & Humanities;Q1
Hernandez-Vivanco A., Bernardo M., Cruz-Cázares C.;Relating open innovation, innovation and management systems integration;2016;Purpose - The purpose of this paper is to analyze the impact of the level of integration of management systems (IMS) over product and process innovation capabilities (IC), by considering the role of open innovation (OI) activities as a moderating effect of those relationships. Design/methodology/approach - A longitudinal empirical study was performed on an existing Spanish panel database that contains information related to innovation, where 9,765 companies were selected for the panel analysis. A logit approach with random effects was considered. Findings - The level of IMS positively influences process and product IC. Moreover, external cooperation, and using it to a high extent not only positively moderates the effects of the level of IMS over process IC, but also of process over product IC, where it becomes indispensable for its effect to be positive. Finally, investing in external knowledge is a positive moderator of the effects of the level of IMS over both: process and product IC. Originality/value - This is one of the first studies on empirically finding evidence of the impact of the level of IMS on process and product IC, and of the moderating effect of performing OI activities in order to achieve higher process and product IC through the IMS. © Emerald Group Publishing Limited.;Purpose - The purpose of this paper is to analyze the impact of the level of integration of management systems (IMS) over product and process innovation capabilities (IC), by considering the role of Open Innovation activities as a moderating effect of those relationships. Design/methodology/approach - A longitudinal empirical study was performed on an existing Spanish panel database that contains information related to innovation, where 9,765 companies were selected for the panel analysis. A logit approach with random effects was considered. Findings - The level of IMS positively influences process and product IC. Moreover, external cooperation, and using it to a high extent not only positively moderates the effects of the level of IMS over process IC, but also of process over product IC, where it becomes indispensable for its effect to be positive. Finally, investing in external knowledge is a positive moderator of the effects of the level of IMS over both: process and product IC. Originality/value - This is one of the first studies on empirically finding evidence of the impact of the level of IMS on process and product IC, and of the moderating effect of performing OI activities in order to achieve higher process and product IC through the IMS. ;10.1108/IMDS-09-2015-0405;2-s2.0-84988813674;Spain;"Business, Management and Accounting; Management Information Systems; Computer Science; Engineering";Social Sciences & Humanities;Q1
Lavrynenko A., Shmatko N., Meissner D.;Managing skills for open innovation: The case of biotechnology;2018;Purpose - The purpose of this paper is to explore the composition of skillsets in biotechnology from the perspective of employers and its relation to open innovation processes in the sector. It provides conclusions for HR management practice. Design/methodology/approach - The study is based on job advertisements content analysis and in-depth interviews with chiefs of research and development companies. It uses biotechnology as an example of industry where open innovation practice implementation is expanding. The authors have used data from American, British and Russian job search engines. Findings - It is demonstrated that skills composition required in biotechnology does not vary significantly among selected countries as the market becomes increasingly globalized in terms of not only technology used but also personnel hired. Companies stress more on hard and digital skills, while soft skills appear to be a “must have without saying,” The mismatch between skills presented in the advertisements and articulated in the interviews has been found as employers tend to demonstrate innovation friendly company culture for possible applicants. Originality/value - The present paper enriches literature on employee skills for open innovation. It gives comprehensive lists of biotech skills in-demand divided into hard, digital and soft categories and interprets them within the context of employee cognition and behavior. The new insight into employee skills articulated by the companies as a strong element of organizational culture is presented. © Emerald Publishing Limited.;Purpose - The purpose of this paper is to explore the composition of skillsets in biotechnology from the perspective of employers and its relation to Open Innovation processes in the sector. It provides conclusions for HR management practice. Design/methodology/approach - The study is based on job advertisements content analysis and in-depth interviews with chiefs of research and development companies. It uses biotechnology as an example of industry where Open Innovation practice implementation is expanding. The authors have used data from American, British and Russian job search engines. Findings - It is demonstrated that skills composition required in biotechnology does not vary significantly among selected countries as the market becomes increasingly globalized in terms of not only technology used but also personnel hired. Companies stress more on hard and digital skills, while soft skills appear to be a “must have without saying,” The mismatch between skills presented in the advertisements and articulated in the interviews has been found as employers tend to demonstrate innovation friendly company culture for possible applicants. Originality/value - The present paper enriches literature on employee skills for Open Innovation. It gives comprehensive lists of biotech skills in-demand divided into hard, digital and soft categories and interprets them within the context of employee cognition and behavior. The new insight into employee skills articulated by the companies as a strong element of organizational culture is presented. ;10.1108/MD-04-2017-0301;2-s2.0-85045081237;Russian Federation;"Business, Management and Accounting; Decision Sciences";Social Sciences & Humanities;Q1
