Abstract;Ref
"As social media attract increasing attention from executives and find varied applications in different industries, research on the subject has been investigating the antecedents, moderators, mediators and outcomes of social media adoption, as well as impacts on the organizational and individual level. However, relatively little attention has been paid to the discussion of the new sources of social media innovation—i.e., the upstream originators of social media solutions. Such innovations of a possibly disruptive nature often originate from startups, which can constitute a significant driver for social media development and can influence the adopting incumbents’ behaviors. This study aims at shedding first light on social media-based solutions developed and delivered by startups. By surveying the Crunchbase database, we identified 724 funded social media startups, which were further classified into six categories, namely: (i) social network; (ii) social commerce; (iii) social recruitment; (iv) social management; (v) social loyalty and advocacy; (vi) contact management. Our findings show how the large majority of startups deliver social network solutions to incumbents, followed by social media management applications. The findings also shed light on emerging approaches to value generation and open innovation from social media related to and driven by startups. © 2016 Elsevier Ltd";Ref036
Social media (SM) allow users to easily create, edit, or share content. The vast numbers of individuals that converge around sites like LinkedIn, Facebook, or Twitter embody a rich source of external knowledge that could be utilized for new product development (NPD). Complementing other channels for open innovation (OI), SM can provide access to novel information about customer needs and technological solutions unknown to the firm. Anecdotal evidence suggests that there are considerable benefits from using SM during an innovation project, but empirical evidence is scarce. Contributing to the perspective of openness in search, a number of hypotheses propose how SM as a new channel for OI can contribute to firm performance. This model is tested using data from the PDMA Comparative Performance Assessment Study, identifying factors influencing the relationship between SM and NPD performance. The findings indicate that utilizing information from SM channels can lead to higher performance, but that this link is influenced by the formalization of a firm's NPD process. This study also finds that the ability of a firm to benefit from external search in SM strongly depends on complementary internal processes when organizing and conducting this activity. Furthermore, managers have to take care when utilizing information from SM channels in radical projects, as for this kind of project only a weak significant performance contribution of SM could be found. © 2016 Product Development & Management Association;Ref037
Small- and medium-sized enterprises (SMEs) typically face resource and capability constraints that inhibit their innovation activities. One way SMEs can overcome these constraints is by complementing internal resources and capabilities with external knowledge, referred to as open innovation. With the proliferation of the Internet, SMEs have added social media to their traditional marketing activities. However, they rarely embrace social media's analytical capabilities for innovation. The authors propose the semantic-learning-based innovation framework (SLBIF) to guide SMEs in using social media's analytical capabilities to innovate their products or services. Their framework includes three consecutive stages innovators should follow - idea selection, idea refinement, and idea diffusion - that explain how to analyze customer preferences through semantic analysis of customer posts and identify lead users and opinion leaders using user-directed social network analysis. © 1999-2012 IEEE.;Ref038
With increasing product personalization and open innovation, the manufacturing paradigm has been transforming to a more decentralized and socialized one. Social manufacturing was proposed as a new paradigm for industry. It extends the crowdsourcing idea to the manufacturing area. By establishing cyber-physical-social connection via decentralized social media, various communities can be formed as complex, dynamic autonomous systems to co-create customized and personalized products and services. This article presents the concept and characteristics of social manufacturing including distributed, adaptive, and self-organization. It also addresses social intelligence in proactive decision-making for organization of socialized resources and producers in the life-cycle of product. © IMechE 2015.;Ref039
Through a case study of using social media tools to open up part of the curatorial research process for an online exhibit on the history of astronomy at the Library of Congress, I offer some initial ideas about how an open approach to sharing curatorial research could significantly expand the impact and reach of such work. Drawing on three distinct emerging conceptions and frameworks for the idea of “open” (open notebook science, linked open data, and open innovation) I suggest how this case study can be used to guide work with existing simple and inexpensive tools and how it could also inform the development of future tools, services and exhibit development methods. This work builds on an ongoing discussion of open data in libraries, archives, and museums. To date, most of that dialog is about object records and not about the stories and narratives cultural heritage institutions tell about them. I suggest ways to make the production of cultural heritage data, as well as the final outputs, part of an open and transparent process. © 2016 Wiley Periodicals, Inc.;Ref040
Although many organizations have deployed social media tools to support business activities such as marketing or customer relationship management in the past several years, academic research on using social media for supporting innovation process is very limited. Many organizations find it challenging to effectively integrate social media into organizational innovation practices because social media are primarily complex, informal and episodic. In this research, we would like to explore how various organizational factors can contribute to social media use for supporting innovation process. We conducted a case study of two particular cases, one with an e-learning service unit at a public university and another with a large hotel chain company. Based on the findings of this case study, we proposed a process-based framework that could help organizations use social media to support innovation process. This case study also identified situational factors that could affect the use of social media for closed innovation and open innovation respectively. In addition, some useful guidelines and proven practices are revealed from this case study. © 2015, Springer Science+Business Media New York.;Ref041
In the recent years, open innovation and co-creation concepts engaging customers in organizations have been gaining widespread attention around the globe. This is particularly significant in the telecommunication space, given the abundant benefits from economy of scale, ease of access to resources, shorter innovation cycles, supportive customer service and enhanced business processes. Thus, this research attempts to identify the factors that influence the adoption of open innovation and co-creation in Malaysian telecommunication industry. The current era imposes criticality for telecommunication companies (telcos) to solidify their collaborations and partnerships, innovation exchange and co-create with their customers using social media tools, in order to sustain and thrive in the industry. To achieve the purpose of the study, a preliminary investigation was conducted using qualitative approach and based on a number of semi-structured interviews, with participation from four staff of a selected telco in Malaysia. The findings highlighted six factors, namely cost control, partnership models, standard conformance, go-to-market strategy, flexible communication and knowledge exchange. Subsequently, these findings may be included in the process of developing a conceptual model for open innovation and co-creation with customers using social media platforms in Malaysian telecommunication industry. Ultimately, this study could contribute to the telecommunication industry in formulating, planning, executing and reviewing the telcos business strategy based upon open innovation and co-creation concepts. © 2016 American Scientific Publishers. All rights reserved.;Ref042
"Some governments have proven social media's potential to generate value through co-creation and citizen participation, and municipalities are increasingly using these tools in order to become smart cities. Nevertheless, few public administrations have taken full advantage of all the possibilities offered by social media and, as a consequence, there is a shortage of case studies published on this topic. By analyzing the case study of the platform Santander City Brain, managed by the City Council of Santander (Spain), the current work contributes to broaden the knowledge on ambitious social media projects implemented by local public administrations for e-Government; therefore, this case can be useful for other public sector's initiatives. The case studied herein proves that virtual social media are effective tools for civil society, as it is able to set the political agenda and influence the framing of political discourse; however, they should not be considered as the main channel for citizen participation. Among the results obtained, the authors have found that several elements are required: the determination and involvement of the government, a designated community manager to follow up with the community of users, the secured privacy of its users, and a technological platform that is easy to use. Additionally, the Public Private Partnership model provides several advantages to the project, such as opening new sources of funding. Copyright © 2016, IGI Global.";Ref043
"The dynamics of global business and knowledge-based economic paradigm has made ideas, thoughts, concepts and knowledge as the key capital of entrepreneurial business at this time. The need for the idea of the infinite and always renewable a major prerequisite for entrepreneurs and creative SMEs in order to survive. Knowledge is an asset as well as ""ammunition"" to create a new creative product. Synergy of internal knowledge agencies with external agencies in line with the spirit of open innovation, i.e., synergy that would enable SMEs to have backward linkage relationship with suppliers and forward linkage with consumers that will eventually culminate in the formation of a new creative market. In line with the spirit of open innovation, a search for Creative Social Media (CSM) Model has become a strategic issue in the current economic paradigm. CSM is a social networking system that is essential in its capacity as a repository and knowledge intermediation for entrepreneurs. Knowledge recommender system will be the main engine of the CSM system used to provide recommendations in the context of sharing knowledge reference between entrepreneurs in a same cluster and in the spirit of anti plagiarism design as ethical boundaries. On the other hand, CSM also played as a tool to win a battle of creativity among entrepreneur's entities in the the world without boundaries. Thus, CSM plays the role of encouraging the growth of the creative city network around the world, facilitated by the United Nations Educational, Scientific and Cultural Organization (UNESCO). CSM studies in the form of identification of: features, frameworks and user requirements obtained through observation of the creative entrepreneurs in Denpasar, Yogyakarta and Surakarta which is part of the creative cities in Indonesia. © Medwell Journals, 2016.";Ref044
Relationship marketing principles shifted with the emergence of the social Web. The firm-centric, traditional closed doors approach is no longer assuring the survival in a global market with demanding and informed customers. Customer touch points are replaced by an open mentality where customer experience and creative collaboration with prosumers has changed even CRM techniques. The present paper analyses the journey from traditional CRM, to social CRM and PoRM (Prosumer-oriented Relationship Management) in response to consumer creative engagement desires. Thus, four PoRM processes are conceptualized by taking into consideration the necessities for prosumer management: the creation of a community, creativity enablement for open innovation, knowledge management and communication channels. In the end general functional blocks with several patterns are presented for efficient services and innovative ideas. This research constitutes one of the first steps into the conceptualization and explanation of the PoRM theory with implications in the design of future relationship management technologies. Copyright © 2016, IGI Global.;Ref045
"Purpose: This paper aims to examine the dynamics of a community of practice (CoP) through a case study of eCars – Now! They offer open-source blueprints of the electric conversion kits globally. The authors analysed the CoP by considering its entire life cycle, starting from the motives for its establishment, through its active performance, up to the current stage, where the members need to decide whether the community will remain viable. Particular attention was paid to the group dynamics and issues that seemed relevant to the change in dynamics which determine whether a CoP maintains its vitality or dissipates. Design/methodology/approach: The qualitative case study was chosen as the research strategy (Yin, 1984) to answer the research question and understand the target phenomenon of the CoP by analysing textual data. This particular case was chosen because of its unusual revelatory value for the case CoP which aims at creating a tangible innovation by using a platform that normally aims at intangible problem-solving (Eisenhardt and Graebner, 2007). In the data collection, the authors used method and researcher triangulation (Patton, 1990). Findings: Life cycle analysis revealed four themes that explained the change in the group dynamics and the dispersal of the community: differentiation and dispersal of interests, growth that resulted in role differentiation, virtuality in community development and inclusion of investors. The themes were all related to the fact that the case community operated with not only knowledge, but also with a tangible product. Therefore, the tangibility of a problem to be solved seems to play a pivotal role in a CoP’s operations and dynamics and, in part, also explains the changing role of information and communications technology (ICT) in the process. Research limitations/implications: However, this paper identified also different ways to characterize community participation, which was also relevant from group dynamics point of view. Thus, the topic should be studied further. Group dynamics in general, as it relates to the success of CoPs, should be also investigated further. Additional studies should implement the inclusion of external resources in the community. Further research is also needed to investigate tangible and intangible outcomes achieved through CoPs. Much of the available research was conducted over short periods; prolonged interactions in a CoP context could show different results. Practical implications: In conclusion, at the beginning of the life cycle of the eCars community, ICT played a significant role. It helped increase awareness of the community in the first place and enabled people to join in, which thus enabled the community to evolve. When the operations evolved and the life cycle progressed, both the physical meeting place as well as personal interaction and communication became emphasized and much more important. In the maturing stage, the role of ICT, and especially social media, is the essential part of the community. Social implications: This analysis suggests that at the early stage of a community, the plans can be somewhat random, even utopian, but when the community evolves, this uncertainty can become a problem. First, it affects achieving the actual, and in this case, concrete results. Second, uncertainty and unclarity dampen enthusiasm and motivation, which are of utmost importance due to the voluntary participation. This paper also concludes that when the operations evolved and the life cycle progressed, both the physical meeting place as well as personal interaction and communication became increasingly important. Originality/value: This paper argues that the ideological basis for this kind of community should be openness. All information should be available for everyone who registers to the community platform on the internet. This community was working in the mindset of open innovation. Technical documentation and all other material were available for everyone in the community’s wiki pages, which attracted a lot of people who were delighted by eCars. Many advisors delivered technical information and good advice to the practitioners of the community through the platform. The hang arounds were also very well-informed in this stage regarding how the core group was working. © 2016, © Emerald Group Publishing Limited.";Ref046
"This study highlights the contribution of the role of social media in supporting customer involvement for service innovation. It is commonplace that many service firms and processes have characteristics that differ from manufacturing. Analyzing the literature, we note that there are many contributions on innovation in the manufacturing industry while few researches are concentrated on the service industry. Hence, we chose to deepen the analysis on marketing innovation, with specific reference to the involvement of the customer, through social media, in service firms. One of the key aspects of many service activities is the high involvement of the client/customer/user in the production of the final service. Without this coproduction process (i.e. interactivity of service production), the service would have often not been created. This customer involvement, together with the intangibility of many service products, leads service innovation to assume characteristics that are different from those learned by studies on manufacturing innovation. Service innovation is hard to capture in traditional categories like product or process innovation: the coproduction process and the interactions between the service provider and his client originate from so many touch points that it becomes difficult to identify what is the focus of innovation in service firms. Hence, the focus is on the role of innovation in marketing activities in favoring the customer's involvement in the service creation process through web tools, stimulating a closer relationship between the firm and its customers. The study develops into the following steps: we start from the objectives and the definition of the research question through the study of the literature; we try to find some assumptions that can be useful to analyze the selected case studies. Results help us to discuss the analysis and to get to some conclusions. © 2015 Della Corte et al.";Ref047
This study investigates the effects of the use of social media in inbound open innovation on capabilities for absorptive capacity of companies. Seven explorative case studies were conducted in an R&D and business context of two large global high-tech companies. The results suggest that if the necessary conditions are met, social media usage increases the transparent, moderational and multi-directional interactions that in turn influence four capabilities for absorptive capacity: connectedness, socialization tactics, cross-functionality and receptivity, a hitherto overlooked capability. Hence, we observe that social media are boundary-spanning tools that can be used to build and increase companies' absorptive capacity. Copyright © 2015 John Wiley & Sons Ltd.;Ref048
"Purpose – The internal resources of a firm should not be regarded as the only source of innovation; organizations need to look at the external sources which can contribute greatly. This can happen through the recent development in technologies and the emergence of social media; such advancements have empowered consumers to have social interaction with their peers in online communities. As a source of generation of innovative ideas, company-based communities have not received enough attention, although they are strong drivers for co-creation of value by customers. Easy online communication channels, facilitated through online communities, have developed open innovation as an attractive means of customer involvement in value creation. However, literature in this area is devoid of empirical research on the way consumers can participate in open innovation communities using Web 2.0 technologies. The paper aims to discuss these issues. Design/methodology/approach – This paper, therefore, looks at the opportunities offered by social media to firms for open innovation in the context of new product development (NPD). The study is based on social support theory and the concept of social media generating open innovation; a model for the research has thus been proposed. The model has been tested using partial least square through an online questionnaire. Findings – The results indicate that social media is a cost-efficient way for firms to look at external sources of innovation, specifically in NPD. Online communities, developed specifically for new products, can support the innovation process for the business sector. The paper discusses the results of this empirical research and has some practical implications for practitioners in this field. Originality/value – The study indicate that social media empower individuals to come online, get involved in social interaction and share their experiences about a new product with other peers in the network. Social media and informational support, as social capital of online communities, both have influence on participation of individuals in the online communities of open innovation for NPD. © Emerald Group Publishing Limited.";Ref049
Abstract Social media technologies allow user-generated content and provide new opportunities and challenges for firms to transform their business. In particular, more and more firms have started strategically using the online user innovation communities (OUICs) for open innovation initiatives. The extent to which firms are able to derive business value from OUICs, however, has not been systematically examined. Drawing on a multi-theoretical foundation from the framework of dynamic capabilities and the view of innovation value chain, we conceptualize two OUIC-enabled capabilities, which are, ideation capability related to collecting user-generated ideas about potential innovation from OUIC, and implementation capability related to selecting user-generated ideas for innovation development and introducing developed innovation via OUIC. Using a large-scale panel data set consisting of 1676 firm-day observations from Dell and Starbucks, we examine the impacts of OUIC-enabled capabilities on firm value. We find robust evidence that OUIC-enabled ideation capability actually does not influence firm value, whereas OUIC-enabled implementation capability increases firm value. Novel theoretical and managerial implications are discussed. © 2015 Elsevier B.V.;Ref050
Development of information and telecommunication technologies (ICT) and growing popularity of the Internet as communication medium were the most important incentives having influenced the global knowledge-based economy for at least two decades. Although the ICT infrastructure development degree is still often considered as an information society measure, it seems that nowadays, when so many people has broadband and mobile access to the Web, more appropriate ones are those reflecting ICT skills and efficient Internet usage qualifications. One of the new concepts is “open innovation”, which in a wider sense could be understood as an exemplification of networked knowledge and innovation exchange method possible thanks to the contemporary Internet revolution. The main purpose of this paper is to evaluate the general concept of open innovation environment, which could be created in Poland to facilitate and foster a scientific and innovation-oriented cooperation among different stakeholders, like companies (especially SMEs), universities, public institutions and the mass of individual Internet users. To achieve this goal, the latter part of the paper is dedicated to the electronic survey results analysis and discussion. This survey has been conducted via social media and other electronic communication channels in course of author’s research concerning new models of knowledge diffusion and technology transfer in electronic networks, especially on the Web. © 2014 Prague Development Center.;Ref051
Despite the exponential rise of social media use in external stakeholder engagement, academic research and managerial practice have paid little attention to how it can be used for open innovation across the entire innovation funnel, spanning ideation, R&D, and commercialization. As a result, there is little understanding of how companies can organize for and implement social media for open innovation. Utilizing a multiple case study design, this article examines its application across the entire innovation process. It proposes a range of organizational and technological adaptations that managers can implement to ensure they realize the innovative benefits of social media application. © 2014 by The Regents of the University of California.;Ref052
"In recent years the proliferation of a new technological evolution has aroused great interest from science and practice: social media. Subsuming different types of online applications where users can create, edit and share content, social media enables new forms of interaction with others. Organisations already recognise its relevance and start leveraging on it. Furthermore, organisations identify the role of service innovation as one major driver for economic growth and competitive advantage. Nevertheless, although social media affords organisations to interact with their customers, the potential for utilising it for improving their service innovation activities is almost unexploited yet. Therefore, this paper aims at providing a framework for supporting the use of social media affordances for service innovation. Its applicability is tested in the domain ""government"". Based on theoretical constructs a conceptual analysis is presented, tested in a specific domain and supplemented by potential future research and implications for theory and practice.";Ref053
This paper analyzes organizations' attempts to entice external contributors to submit suggestions for future organizational action. While earlier work has elaborated on the advantages of leveraging the knowledge of external contributors, our findings show that organizational attempts to attract such involvement are likely to wither and die. We develop arguments about what increases the likelihood of getting suggestions from externals in the future, namely through (1) proactive attention (submitting internally developed suggestions to externals to stimulate debate) and (2) reactive attention (paying attention to suggestions from externals to signal they are being listened to), particularly when those suggestions are submitted by newcomers. Findings from an analysis of about 24,000 initiatives by organizations to involve external contributors suggest these actions are crucial for receiving suggestions from external contributors. Our results are contingent upon the stage of the initiative because organizations' actions exert more influence in initiatives that lack a history of prior suggestions. Our work has implications for scholars of open innovation because it highlights the importance of considering failures as well successes: focusing exclusively on initiatives that reach a certain stage can lead to partial or erroneous conclusions about why some organizations engage external contributors while others fail. © 2013 Elsevier B.V.;Ref054
"Organizational practices that foster a dialogic relationship between organizations and their constituent customers have created an arena for inbound and outbound innovation. At the nexus of this development occurring in the media industries, these flows are carried by various forms of digital, social media and an increasing digital presence in the form of dynamic websites with varying degrees of interactive capabilities. In this paper, we posit that the newspaper industry is torn between indifference and cautious apprehension caused by the difficulty in marrying the journalism profession’s carefully guarded gatekeeping practices with the revolving doors of open innovation. Gatekeeping has emerged as a fiercely defended cornerstone for the industry and the profession of journalism itself is not enough to distinguish amateurs from professionals; for the segregation between professionals and amateurs to carry weight rather than being reduced to a hollow title, the segregation needs a practice that explicitly enforces gatekeeping—where actions speak louder than titles. Against this backdrop, we pursue the following research question: Why has IT-enabled open innovation become such a contentious issue in the context of the newspaper industry? Combining contextual in-situ ethnographic interviews and observation with an industry-wide content analysis of Swedish newspaper websites, we present an in-depth view of what IT-enabled open innovation means in the context of the newspaper industry. Results show that the process of legitimization inscribed by a particularly charged information technology—the printing press—continues to exert great influence in what constitutes open practice in the newspaper industry. © 2014, Association for Information Systems. All rights reserved.";Ref055
As many futurists have argued, images of the future have a crucial role to play in societal development. At an individual level, the understanding of people’s hopes, fears and expectations becomes important not only to determine how we look at the future but also to understand our present actions. At a collective level, sharing these images and understanding our role within the community is also essential for the development of a shared vision about the future. Young people stand out as one of main players in this task of building the society of the future, which is why investigating their images of the future should have highly significant implications. The present paper shows the results of a comparative pilot study about the images of the future found among youngsters from 2 different European countries: Spain and Finland. The survey—which involved two groups of university students from the aforesaid countries—has as its main aim to look into the identified cultural values and message sources that can influence the way in which we look at the (expected and desired) future. The importance of this project, which was developed using the web platform www.F212.org—a pilot project funded by FECYT (Spanish initials for Spanish Foundation for Science and Technology)—stems from the idea that the communication and exchange of information about images of the future through social networks will empower new generations to cope with the challenge of building a desired future. © 2013, The Author(s).;Ref056
"Purpose - With the rise of social media, the practice of innovation management is changing rapidly as well. While the opening up of corporate innovation processes can be observed in literature as well as in practice (commonly known as ""Open Innovation""), we draw the reader's attention to the strategic potential of social media in innovation management. For this, a conceptual framework will be introduced. Design/methodology/approach - In this chapter, we compare established concepts of knowledge management to potentials of social media in this field, which offer more efficient and promising ways to integrate external knowledge into innovation processes. This approach is discussed by considering the integration of customers and especially Lead-Users into corporate product development. Based on the concept of Open Innovation, we reflect the role of Lead-Users in the innovation process critically. Mounting on our reflections, we show the potentials of social media for integrating Lead-Users and develop a conceptual framework for the integration of Lead-Users using different social media applications. Findings - In this paper, a conceptual framework for integrating Lead-Users by using different social media applications is developed and introduced. Originality/value - The unique conceptual framework derived in this chapter is enriched with a discussion of the challenges resulting from the implementation of Lead-User integration along with social media in corporate innovation management. The chapter can help companies as well as researchers to implement a process for the integration of Lead-Users by using the potentials of social media applications. Copyright © 2013 by Emerald Group Publishing Limited All rights of reproduction in any form reserved.";Ref057
"Purpose: The ever changing needs of customers require companies to speed up the new product development process. Thus, the web and social media enable companies to interact and to share knowledge with customers, and to cocreate new products with them. The purpose of this study is to analyze the innovation outputs companies can achieve by involving customers at the ""fuzzy front end"" of the new product development (NPD) process. Design/methodology/approach: A case study method has been adopted because the phenomenon under investigation is new, it is hard to find similar researches, and the study attempts to increase researchers' understanding of such phenomenon. The case study method has enabled the exploration of the strategies used and the results achieved by an international food company, which has involved ordinary customers at early stages of its NPD process, namely at the idea generation and screening stages. Findings: The case study shows that customers freely provide valuable, original, new, and feasible ideas that can foster product and service innovation, and may also trigger process innovation. Thus, the case study shows how the company has outsourced to customers the idea generation and screening stages of the NPD. The case illustrates how the food company has used the ideas gathered from customers to develop new products and new services. Increasingly, it shows also how the company has gathered strategic information about consumers' needs and desires (marketing intelligence). Finally, this research discusses the importance of knowledge codification facilitators and of informal, peer-to-peer, and transparent communication as enablers of consumers' ideas sharing. Research limitations/implications: The single case study approach may prevent the generalization of results. Originality/value: In marketing and innovation research, there is a dearth of studies on how companies are involving customers through the web at early stages of their NPD process. In addition, there is a lack of in-depth discussion about the innovation outputs generated through cocreation activities. © Emerald Group Publishing Limited.";Ref058
Results of Product Development and Management Association (PDMA)'s Comparative Performance Assessment Study are presented from 453 companies. In addition to baseline questions from previous studies, new sections on culture, social media, services, sustainability, open innovation, and global product development practices are introduced. Extensive comparison between the best performing companies and the rest of the sample reveal numerous practices that lead to higher product performance in the market. Comparisons are also made between this study and previous PDMA best practices studies. In addition, geographic differences among North America, Europe, and Asia are explored. Practices leading to higher commercial performance are identified. © 2013 Product Development & Management Association.;Ref059
Governments are striving to deliver more efficient and effective public services in order to achieve better public service quality, with reduced waiting times, improved cost effectiveness, higher productivity and more transparency. It's an issue of doing things in new ways that re quire s fundamental change in the provision of public services in the future and a complete new approach for Governments to work and interact with their citizens. Currently, Societies witness more than ever that Web 2.0 and social media in particular, constitute the emerging, if not already established, mass collaboration and cooperation platform between citizens and administrations, as the latter have started to realise the benefits of such applications. The COCKPIT project builds on these developments and based on a highly synergetic approach aims to define a new Governance model for the next generation public service delivery, by combining various research areas. Copyright © 2012, IGI Global.;Ref060
Purpose: The purpose of this paper is to explore consequences of the use of social media for idea generation. Design/methodology/approach: The paper analyzes over 600 ideas submitted to a Slate-Twitter contest to find the best short characterization of the American Declaration of Independence. These findings are then compared with those of Kornish and Ulrich, who analyzed idea-contests in classroom settings. Findings: In the Slate-Twitter contest, repetition of ideas was rare while recombination was frequent. The evolution in the total number of unique ideas suggests that the contest became more focused over time. It also appears that ideas that are recognized as valuable attract similar ideas in turn. Research limitations/implications: Further checks will be needed with regard to the robustness of the findings. Furthermore, while the current analysis relies on peer review by participants to the contest to value submissions, results might be different if it were done on the basis of independent external reviews. Conceptually, the findings suggest that idea generation via social media has a more iterative character than previously analyzed forms of broadcast search. Future research could investigate what triggers more exploration and exploitation of ideas in this process. Practical implications: For businesses, which are more and more encouraged to engage in open innovation, the analysis can serve as guide on the use of social media for information collection. Originality/value: The paper provides a simple and effective method to monitor social media, which firms can use to their advantage. © Emerald Group Publishing Limited.;Ref061
In the paradigm of open innovation, it is recognised that valuable innovation-related knowledge is being increasingly widely distributed to various actors, organisations and communities. Social media can provide novel and useful ways of interacting and collaborating in innovation, likewise for creating new information and knowledge about customers for innovations. These have not so far been much investigated because of the novelty of social media concepts and approaches. Furthermore, the opportunities of social media are not yet well understood in the contexts of innovation and customer interaction, and importantly, while the business-to-consumer sector standpoint has been more researched and understood, the business-to-business sector standpoint has been very little studied in the above contexts. With the help of a literature review and a survey in Finnish companies, we studied the current situation regarding the opportunities of social media in facilitating customer interaction in the innovation process. Copyright © 2012 Inderscience Enterprises Ltd.;Ref062
Social media refers to a combination of three elements: content, user communities and Web 2.0 technologies. This foresight report presents six roadmaps of the anticipated developments of social media in three themes: society, companies, and local environment. One of the roadmaps, the meta-roadmap, is the synthesis of them all. The society sub-roadmap explores societal participation through communities. There are three sub-roadmaps relating to companies: interacting with companies through communities, social media in work environment, and social media enhanced shopping. The local environment sub-roadmap looks at social media in local environment. The roadmapping process was carried out through two workshops at VTT. The results of the report are crystallized into five main development lines triggered by social media. First development line is transparency referring to its increasing role in society, both with positive and negative consequences. The second development line is the rise of ubiquitous participatory communication model. This refers to an increase of two-directional and community-based interactivity in every field, where it has some added value. The third development is reflexive empowerment. This refers to the role of social media as an enabler of grass-root community collaboration. The fourth development line is the duality personalization/fragmentation vs. mass effects/integration. Personalization/ fragmentation emphasises the tailoring of the web services and content. This development is counterweighted by mass effects/integration, like the formation of super-nodes in the web. The fifth development line is the new relations of physical and virtual worlds. This development line highlights the idea that practices induced by social media, e.g. communication, participation, co-creation, feedback and rating, will get more common in daily environment, and that virtual and physical worlds will be more and more interlinked. Copyright © VTT 2008.;Ref063
Purpose The main purpose of this paper is to investigate how social media can provide important platforms to facilitate organisational learning and innovation in new product development (NPD) process. Design/methodology/approach Using a multiple case-study approach, this study assesses qualitative data collected via 56 interviews from 13 world-leading Chinese companies in the high-technology industry. Findings The study identified three distinct types of organisational learning mechanisms for firms to extract potential innovation inherent in social media. It further determined various organisational enablers that facilitate the connections between these mechanisms and NPD performance. Research limitations/implications This research contributes to the emerging literature on digital product development and organisational learning. The cases were conducted in the Chinese context, hence, the results may not be fully generalisable to other organisations, industries and countries without appropriate re-contextualisation. Practical implications The empirical evidence showcases the various mechanisms adopted by managers in different NPD phases. It identifies several technological and organisational adaptations that managers can apply to smartly scale their social presence and facilitate NPD. Originality/value Despite the exponential growth of social media use in identifying and interacting with external stakeholders, managerial practice and academic research have paid little attention to how social media can be leveraged for NPD. The value of this research comes from applying a qualitative method to gain in-depth insights into the mechanisms for leveraging social media to facilitate innovation in NPD.;Ref064
The paper focuses on virtual brand community (VBC) as new management tool for open innovation. Existing research on the intersection between brand communities and innovation management shows how the knowledge of the brand communities' members and their engagement in product-related discussions represent a relevant source of innovation for the companies. However, how do companies implement open innovation through the VBC and how do they implement purposeful practices represent an unexplored research area. By adopting a value-oriented perspective of open innovation, this study interprets the VBC as a co-creation space where undertaking opportunity identification and resource mobilization for value creation and value capture. The paper presents a single case study of a multinational company operating in the semiconductor industry that has recently implemented a VBC as a tool for peer-to-peer support and knowledge sharing. Results show the features of this VBC and the set of practices designed to realize the open innovation strategies. By adopting an open innovation perspective, the article presents a model of VBC as a collaborative space for innovation. For practitioners, the article provides evidences and insights about the use of VBC to support the implementation of open innovation strategies.;Ref065
This paper provided a novel definition of customer knowledge management (CKM) as the logical intersection of customer relationship management (CRM) and knowledge management (KM). The main aim was to investigate the digital technologies supporting small and medium enterprises (SMEs) operating in creative industries in their customer knowledge management strategies. To achieve this aim, a survey involving 73 handicraft and/or retail SMEs operating in luxury jewelry industry was conducted. The survey results pointed out that in a few years the scenario has changed and that surveyed SMEs make more intensive use of traditional technologies supporting customer knowledge management processes rather than more innovative digital technologies, which are also cheap and easy to use. This finding showed the difficulties of SMEs operating in creative industries to be responsive to the rapid technological changes that are affecting CKM, as well as the lack of support from information technology vendors in the decision-making process for choosing adequate digital systems.;Ref066
Retail firms are increasingly using social media for purposes other than traditional marketing, such as innovation. Yet, while the innovation literature has established the benefits of involving customers in the development of products/services through open innovation, the role of social media in innovation is not well understood. Accordingly, we investigate how social media drives innovation in retail businesses. Using data from 414 firms, we find that social media positively relates to radical and incremental innovation, mediated by multiple digital channels and moderated by digital capabilities. Consequently, we propose a social media dynamic capabilities framework to guide future research and innovation in retail business.;Ref067
Societies face difficult challenges which require responses that go beyond the innovation capability of most public sector organisations. Open approaches to public sector innovation that exploits digital technologies have been proposed for some years to close this gap, but our knowledge of the use and outcome of using open innovation in this context is limited. This research takes stock of the study and use of these approaches by investigating the purposes for which public sector organisations use open innovation, and how it creates value. The research question is answered through a systematic literature review and an analysis of publicly available data about the open innovation projects referred to in that literature. The research identifies five different purposes of using open innovation. It also suggests that public sector organisations primarily use open innovation to pursue one specific purpose: innovation in society. When using open innovation for this purpose, public sector organisations attempt to create value by improving citizens' quality of life and the quality of neighbourhoods. They do this primarily by co-specialising IT and other resources in society (e.g. the transportation system) and by using the outcome of this co-specialisation process to change citizen behaviour, capabilities and experiences (e.g. encouraging citizens to use the transportation system more efficiently or making citizens feel more safe when using the transportation system). This research indicates that open innovation is generally not used to open up public sector organisations or to give citizens more influence in public sector or democratic processes. The research also indicates that open innovation, until now, has primarily been used to solve minor problems, and not large scale wicked problems in society. The research suggests a framework for value creation from open innovation initiatives that pursues innovation in society. This framework might help public sector organisations increase value creation and solve wicked problems using open innovation, and might help researchers to focus future open innovation research on essential knowledge gaps.;Ref068
